outcome,rows,share
kept,259323,0.9996453558969219
charging_exceeds_connected,40,0.00015419308829481718
non_pacific_timezone,31,0.00011949964342848332
implausible_power,10,3.8548272073704296e-05
connected_over_48h,6,2.3128963244222577e-05
duplicate_row,5,1.9274136036852148e-05
