,ports,sessions,mean_utilization,weekday_9_17_utilization,share_time_full,weekday_9_17_share_full,idle_share_of_connected_time
WEBSTER,6,6545,0.3054984779299848,0.6827306832694763,0.052825342465753426,0.1962404214559387,0.11433362051354003
HIGH,8,7644,0.23198844178082192,0.5181842672413793,0.011957762557077626,0.04645593869731801,0.11752248250745313
TED THOMPSON,8,5179,0.18691495433789954,0.46065313697318006,0.0048515981735159815,0.019516283524904216,0.10005806204074624
CAMBRIDGE,10,9407,0.2094777397260274,0.4443606321839081,0.001969178082191781,0.007662835249042145,0.13816797981138593
HAMILTON,4,5170,0.30530108447488585,0.5218510536398467,0.0007420091324200913,0.0019157088122605363,0.11500258295064862
BRYANT,12,7664,0.1731949200913242,0.4098619093231163,0.0,0.0,0.13112425584178414
MPL,6,3722,0.1436120624048706,0.22156369731800765,0.0,0.0,0.13077367685328636
RINCONADA LIB,5,2395,0.1598116438356164,0.19851532567049812,0.0,0.0,0.21981337248918853
