policy,hour,charging_mw,requests_per_day,lost_rate,lbmp_usd_mwh
orchestrated,0,1.9719108232201197,640.1428571428572,0.09620825421862578,29.715714285714284
orchestrated,1,2.3889474929767682,450.2857142857143,0.18722242470389808,27.798571428571428
orchestrated,2,2.3939259173244176,309.61904761904765,0.14516225255604037,26.164285714285715
orchestrated,3,2.02154368904939,186.33333333333334,0.0020784619381657575,26.005714285714284
orchestrated,4,1.5580973839860992,111.28571428571429,0.0,26.395714285714288
orchestrated,5,1.0531030526003056,114.04761904761904,0.00041152263374485596,29.275714285714287
orchestrated,6,0.5584273105272555,271.3333333333333,0.0,36.074285714285715
orchestrated,7,0.3600251995788836,600.1428571428572,0.0007148236854446038,37.66285714285714
orchestrated,8,0.3739427890436817,862.9047619047619,0.002762740087142086,33.73428571428571
orchestrated,9,0.15348742663356482,924.7619047619047,0.002822515698505128,31.164285714285715
orchestrated,10,0.14481332940658656,937.7142857142857,0.0027859997088018514,29.642857142857142
orchestrated,11,0.0931129007242701,1024.6666666666667,0.0067843458853473785,29.47142857142857
orchestrated,12,0.03136250213048996,1118.5238095238094,0.015306263165089826,29.41428571428571
orchestrated,13,0.05354577327161076,1164.952380952381,0.005526366375599435,29.632857142857144
orchestrated,14,0.012222658740395022,1213.095238095238,0.015015110697107223,29.705714285714286
orchestrated,15,0.0,1247.7142857142856,0.03222946799126358,31.108571428571427
orchestrated,16,0.0,1250.4285714285713,0.011746091432760378,33.715714285714284
orchestrated,17,0.0,1409.857142857143,0.05154439449893977,39.01428571428572
orchestrated,18,0.015397813300345368,1475.0952380952378,0.06969626568541869,43.220000000000006
orchestrated,19,0.21709035022550105,1359.3809523809525,0.09638008085111405,48.277142857142856
orchestrated,20,0.325951325394467,1211.142857142857,0.008091181704290436,48.76714285714286
orchestrated,21,0.32596280766025326,1285.5714285714287,0.02718889359099191,38.78142857142858
orchestrated,22,0.5021340091275026,1211.6666666666667,0.06027179334640554,33.80714285714286
orchestrated,23,1.3632669423352783,903.8095238095239,0.08501723842434938,30.372857142857146
queue_aware,0,0.22214752638730917,640.1428571428572,0.11713687557150904,29.715714285714284
queue_aware,1,0.2806653796709233,450.2857142857143,0.1235649835854901,27.798571428571428
queue_aware,2,0.33826879603184695,309.61904761904765,0.07810765975297722,26.164285714285715
queue_aware,3,0.33216942939965083,186.33333333333334,0.011310993019070362,26.005714285714284
queue_aware,4,0.22200403633626978,111.28571428571429,0.0,26.395714285714288
queue_aware,5,0.14634911457499147,114.04761904761904,0.0,29.275714285714287
queue_aware,6,0.12587219198725383,271.3333333333333,0.0,36.074285714285715
queue_aware,7,0.17987044471491917,600.1428571428572,0.0004748930457298207,37.66285714285714
queue_aware,8,0.2323867946777385,862.9047619047619,0.0026497343547011204,33.73428571428571
queue_aware,9,0.3089731876195004,924.7619047619047,0.0032896515323243627,31.164285714285715
queue_aware,10,0.36253653923332285,937.7142857142857,0.003250120685394233,29.642857142857142
queue_aware,11,0.3903738157130092,1024.6666666666667,0.01606051148165288,29.47142857142857
queue_aware,12,0.6830781790749162,1118.5238095238094,0.04438625777542682,29.41428571428571
queue_aware,13,0.9553243590214775,1164.952380952381,0.05587253605150044,29.632857142857144
queue_aware,14,1.0463403053615095,1213.095238095238,0.06265659526582401,29.705714285714286
queue_aware,15,1.2144821985366676,1247.7142857142856,0.08382513162181714,31.108571428571427
queue_aware,16,1.4955675983584673,1250.4285714285713,0.07554903944031338,33.715714285714284
queue_aware,17,1.7047667117924057,1409.857142857143,0.12274067757069436,39.01428571428572
