segment,n,coverage,mean_width,dimension
anonymous,798,0.6691729323308271,14.254888211533068,user
new_user(<5 prior),5785,0.7892826274848747,11.917252361898198,user
returning,17663,0.8029213610371964,10.271062314342156,user
BRYANT,3845,0.8013003901170351,10.68845679813023,site
CAMBRIDGE,5003,0.8017189686188287,8.94774796055607,site
HAMILTON,2519,0.8161969035331481,9.61951655531919,site
HIGH,3938,0.7953275774504824,11.284713707351484,site
MPL,1906,0.8053515215110179,12.008881735701532,site
RINCONADA LIB,1220,0.7434426229508196,14.155130320944664,site
TED THOMPSON,2645,0.7965973534971644,11.187793131152828,site
WEBSTER,3170,0.7738170347003155,11.814231777614884,site
night,538,0.8921933085501859,8.210543373836865,arrival_time
morning,4817,0.7934399003529168,10.245055324433588,arrival_time
midday,10342,0.7980081222200734,10.521740621152746,arrival_time
evening,6474,0.786685202347853,11.041255352456682,arrival_time
late,2075,0.7874698795180722,13.334865964300185,arrival_time
