label,policy,metric,n_seeds,baseline_mean,diff_mean,ci95_low,ci95_high,rel_diff
E0_validation,orchestrated,service_rate,3,0.9739793744055514,0.006776859621556645,0.004196486656505497,0.009357232586607794,0.006957908760329513
E0_validation,orchestrated,wait_mean_min,3,6.3328177509148,-0.3636852279369653,-0.4252641626389275,-0.30210629323500304,-0.057428658496358836
E0_validation,orchestrated,wait_p95_min,3,9.67821857868233,-0.14774425273695732,-0.1625148395014759,-0.13297366597243873,-0.015265645380482036
E0_validation,orchestrated,queue_wait_mean_min,3,11.361029356454381,-1.0009226612903321,-17.383349203137403,15.381503880556739,-0.08810140612141734
E0_validation,orchestrated,energy_cost_usd_per_day,3,798.4561113586974,-176.95414881092373,-207.37696441310047,-146.531333208747,-0.22162038250268845
E0_validation,orchestrated,avg_price_usd_mwh,3,51.10022400443332,-11.990786456023669,-13.064991184558185,-10.916581727489152,-0.23465232667049324
E0_validation,orchestrated,peak_charging_mw,3,3.1807483435288346,0.6535454722356063,0.5991536483413958,0.7079372961298168,0.20546909143731248
E0_validation,orchestrated,empty_km_share,3,0.3161693115887823,0.015031249010626265,0.01354746095430063,0.016515037066951902,0.04754177100583463
E0_validation,orchestrated,sessions_per_vehicle_day,3,1.059047619047619,0.5043290043290043,0.4872293796218816,0.521428629036127,0.4762099411379987
E0_validation,orchestrated,grid_mwh_per_day,3,15.625213892139142,0.2661481138713893,-0.07152916359593442,0.603825391338713,0.0170332461180122
E0_validation,queue_aware,service_rate,3,0.9739793744055514,-0.00045784547743465964,-0.0027663530811405106,0.0018506621262711913,-0.00047007717972887914
E0_validation,queue_aware,wait_mean_min,3,6.3328177509148,0.009188844421553396,-0.05082259500066217,0.06920028384376896,0.0014509882935168996
E0_validation,queue_aware,wait_p95_min,3,9.67821857868233,-0.005555268900093798,-0.023712474413482544,0.01260193661329495,-0.0005739970486231917
E0_validation,queue_aware,queue_wait_mean_min,3,11.361029356454381,-2.3063360851948875,-3.8066673424011883,-0.806004827988587,-0.203004148025075
E0_validation,queue_aware,energy_cost_usd_per_day,3,798.4561113586974,1.1944837442261285,-7.868457319077371,10.257424807529627,0.0014959917360937076
E0_validation,queue_aware,avg_price_usd_mwh,3,51.10022400443332,0.030723674367384508,-0.34556695620111194,0.4070143049358809,0.0006012434380858879
E0_validation,queue_aware,peak_charging_mw,3,3.1807483435288346,-0.021141240890573343,-0.08361959455574564,0.04133711277459894,-0.006646624821352105
E0_validation,queue_aware,empty_km_share,3,0.3161693115887823,0.0008421976085995116,-9.412325565582615e-06,0.001693807542764606,0.0026637550759350576
E0_validation,queue_aware,sessions_per_vehicle_day,3,1.059047619047619,-7.401486830834377e-17,-0.003924784361853455,0.0039247843618533075,-6.988814003935338e-17
E0_validation,queue_aware,grid_mwh_per_day,3,15.625213892139142,0.013919010498401127,-0.048281868369003694,0.07611988936580595,0.0008908044775888549
E0_validation,threshold_100,service_rate,3,0.9739793744055514,-0.021816375775334313,-0.033408532405478295,-0.010224219145190332,-0.02239921742557382
E0_validation,threshold_100,wait_mean_min,3,6.3328177509148,0.20931485534166536,0.14821450214516516,0.27041520853816553,0.03305240472322593
