reference,variant,metric,variant_mean,diff_mean,diff_sd,n_seeds
threshold_80,orchestrated,service_rate,0.9620623023718462,0.03180896215761031,0.0055070501856378734,6
threshold_80,orchestrated,wait_mean_min,6.386132583300383,-0.46684500962222025,0.08405924340334386,6
threshold_80,orchestrated,energy_cost_usd_per_day,457.7212737398917,-88.71034911213972,12.370353960794917,6
threshold_80,orchestrated,avg_price_usd_mwh,28.815874504354436,-7.302775159594563,0.8966712617889767,6
threshold_80,orchestrated,peak_charging_mw,3.5851358291593303,0.41426472385316226,0.05845784127662367,6
threshold_80,orchestrated,queue_wait_mean_min,17.96474914356775,12.355473045090408,1.2256140175124224,6
threshold_80,orchestrated,sessions_per_vehicle_day,1.3596536796536798,0.3305194805194806,0.01429539223538252,6
threshold_80,orch_no_topups,service_rate,0.9514536022793423,0.02120026206510639,0.004433635054608969,6
threshold_80,orch_no_topups,wait_mean_min,6.574496275296468,-0.2784813176261345,0.06340447511567843,6
threshold_80,orch_no_topups,energy_cost_usd_per_day,527.714248119116,-18.71737473291546,11.980417506419364,6
threshold_80,orch_no_topups,avg_price_usd_mwh,34.379082630009826,-1.7395670339391718,0.896655278510743,6
threshold_80,orch_no_topups,peak_charging_mw,3.6020655523594716,0.43119444705330356,0.14303196953623598,6
threshold_80,orch_no_topups,queue_wait_mean_min,4.314086539139946,-1.2951895593373968,2.407487362230682,6
threshold_80,orch_no_topups,sessions_per_vehicle_day,1.215064935064935,0.18593073593073592,0.0060657368510684834,6
threshold_80,orch_no_scarce_trigger,service_rate,0.9592469921732311,0.028993651958995153,0.005314671460535213,6
threshold_80,orch_no_scarce_trigger,wait_mean_min,6.350456620939947,-0.5025209719826567,0.07374946046838106,6
threshold_80,orch_no_scarce_trigger,energy_cost_usd_per_day,480.6654804491175,-65.76614240291384,12.3925852425855,6
threshold_80,orch_no_scarce_trigger,avg_price_usd_mwh,30.251585246086307,-5.867064417862687,0.8708906719695796,6
threshold_80,orch_no_scarce_trigger,peak_charging_mw,3.4298594669047286,0.2589883615985607,0.09761242675399914,6
threshold_80,orch_no_scarce_trigger,queue_wait_mean_min,2.417307832280093,-3.1919682661972497,2.0275206445788556,6
threshold_80,orch_no_scarce_trigger,sessions_per_vehicle_day,1.5619913419913418,0.5328571428571428,0.020248248489059095,6
threshold_80,orch_no_preemption,service_rate,0.9580488776148113,0.027795537400575554,0.005235313108222461,6
threshold_80,orch_no_preemption,wait_mean_min,6.411321507232994,-0.44165608568960835,0.07640444068518369,6
threshold_80,orch_no_preemption,energy_cost_usd_per_day,450.6780140772844,-95.75360877474698,10.953400687534689,6
