model,mae,median_ae,bias
global_median,5.426325991916193,3.7680000000000002,-2.5401377546811847
site_x_weekend_x_hour_median,5.220722985461519,3.4132995000000004,-2.5583923206095847
user_history_else_site_hour,3.9928253447842255,2.3668607017543875,-0.8490098703935568
gbm_quantile_median,3.624892483608692,2.0980857050327018,-1.0345807091156751
