month,n,static_cqr_coverage,rolling_cqr_coverage,median_abs_err_log
2020-01,4454,0.7970363718006287,0.801751234845083,0.25483544956217474
2020-02,4089,0.8038640254340914,0.8136463683052091,0.2562483160666287
2020-03,2000,0.7885,0.7815,0.2700287945244536
2020-04,487,0.7125256673511293,0.728952772073922,0.35305652155641853
2020-05,688,0.7587209302325582,0.7906976744186046,0.3420001934995638
2020-06,1096,0.7545620437956204,0.7928832116788321,0.34323095082443045
2020-07,1166,0.7675814751286449,0.8078902229845626,0.3228224252841082
2020-08,1177,0.7697536108751062,0.806287170773152,0.3081439356718947
2020-09,1228,0.7760586319218241,0.8086319218241043,0.30236952229455016
2020-10,1495,0.7752508361204014,0.7939799331103679,0.31099669358711113
2020-11,1192,0.7810402684563759,0.8095637583892618,0.3071870874782823
2020-12,1020,0.7813725490196078,0.7970588235294118,0.3032877365240252
