k,silhouette,stability_ari,inertia
3,0.2833312220750915,0.9988755089344057,116819.99216006542
4,0.29043408951203853,0.9942877098684338,94535.99039266612
5,0.292881748703209,0.9974639896424043,82028.5084969817
6,0.2734135504401308,0.997591467056328,72007.61200820832
7,0.2736108023291856,0.994199826382625,64414.528755083855
8,0.28161987724384174,0.9491766403028404,59324.754773352724
