feature,importance,std
u_prior_median_dwell,0.13972302722387742,0.000855455999505153
u_last_dwell,0.017880697209834023,0.0006602475908329357
log_u_hours_since_last,0.01144003154435913,0.0007062104218670211
u_prior_same_site_share,0.008502840437405937,0.0001831603323692943
hour_sin,0.008106295261198918,0.00020241875448318846
site_code,0.006374558906258376,8.399166041537472e-05
log_u_prior_n,0.006152143933525848,0.0005993867277748262
u_prior_mean_energy,0.006090843938253543,0.0001038876956397006
hour_cos,0.005928649144581188,0.0004023975218257365
hour_vs_user_usual,0.005583341547723404,0.00029627142804853913
u_prior_mean_log_dwell,0.0038304975540902433,0.00019874651644556968
u_prior_mean_start_hour,0.002911380688673119,0.0003072999056836351
dow,0.002219927052950802,0.0001169584044876781
anonymous,0.0019870089112925537,4.1857046436081484e-05
local_driver,0.001970643588941482,0.00028523316898837177
u_last_energy,0.0014792039532276664,0.0001252059249929834
u_prior_mean_idle,0.0013372353469568814,0.00023450414456886278
temp_c,0.00035169697818915324,0.00014904290385680353
weekend,9.28966087503369e-05,1.9643673765182957e-05
precip_mm,8.89545611002703e-05,5.4995281038905246e-05
month,5.62813505987266e-05,1.6180738099608672e-05
level1,1.2451993554170778e-05,2.132538439290414e-06
holiday,1.1374048793348171e-05,1.3246286464498649e-05
fee_regime,0.0,0.0
site_active_at_start,-3.666306329458413e-05,8.741119320322787e-06
