policy,seed,fleet,chargers,sites,battery_kwh,sample_frac,requests,service_rate,lost_rate,wait_mean_min,wait_p50_min,wait_p95_min,trips_per_vehicle_day,util_with_rider,share_charging_or_queued,share_idle,empty_km_share,charge_km_per_vehicle_day,sessions_per_vehicle_day,queue_wait_mean_min,queue_wait_p95_min,grid_mwh_per_day,energy_cost_usd_per_day,avg_price_usd_mwh,peak_charging_mw,depletions,energy_residual_kwh,runtime_s,events,label
threshold_80,0,550,36,6,40.0,0.2,132949,0.9734108567947107,0.026589143205289247,6.411076427176642,6.267180853431637,9.705276482241121,33.61402597402598,0.3067287723223419,0.024345913143000334,0.5132576225618499,0.31637025667099367,2.3423462869372247,1.0532467532467533,5.906309229834304,33.66583678848728,15.52540582766701,792.551343926193,51.04867162401828,3.1855957010793423,0,-1.100361259886995e-07,9.511967625003308,513350,E0_validation
threshold_80,1,550,36,6,40.0,0.2,133220,0.9739603663113646,0.02603963368863534,6.299755915708126,6.10222054112916,9.668722216928533,33.70155844155844,0.3070547835551438,0.02762107230693373,0.5093056985866817,0.3172529626846851,2.307909608016824,1.065974025974026,10.020261275723145,51.84943128698175,15.72409074100984,804.6846345058292,51.175272882847175,3.1777858791877254,0,-1.0924122761934996e-07,9.581017415999668,508428,E0_validation
threshold_80,2,550,36,6,40.0,0.2,132937,0.9745669001105787,0.025433099889421305,6.287620909859633,6.061443247183828,9.660657036877335,33.65090909090909,0.3076327445775538,0.03341334175356708,0.5039728868987425,0.31488471541066826,2.2849449809409634,1.057922077922078,18.156517563805696,88.28880509852947,15.626145107740573,798.1323556440701,51.076727506434516,3.1788634503194353,0,-1.0812618711497635e-07,9.451025124988519,508181,E0_validation
threshold_80,0,550,36,6,40.0,0.2,149106,0.933510388582619,0.06648961141738093,6.764102015500208,6.880201703722317,9.810455257915017,36.153766233766234,0.3480481974320202,0.0256824955891442,0.4626250726146767,0.31423705334581087,2.2238391765829375,1.0187012987012987,9.119329601968763,49.85094676632369,14.979363348627688,562.5902066374334,37.55768476561951,3.121945794290015,0,-7.922608347143978e-08,10.19125770800747,573059,E1_main
threshold_80,1,550,36,6,40.0,0.2,149094,0.9303660777764363,0.06963392222356365,6.8877273587174335,7.127875310387269,9.824241314344738,36.02909090909091,0.34678945496485536,0.02249966373454023,0.46740483101728647,0.3148682694968953,2.3367774488584243,1.0376623376623377,3.9242404961234905,23.792742105313895,15.242963053006678,541.8031665454126,35.54447810844374,3.2333902775500594,0,-7.905327947810292e-08,10.31470541699673,576536,E1_main
threshold_80,2,550,36,6,40.0,0.2,148774,0.933294796133733,0.06670520386626695,6.862900601958118,7.091133448725062,9.817645691232174,36.064935064935064,0.3479044331923443,0.022399731303877422,0.4659119953667815,0.3141716880344467,2.2985515398670944,1.0311688311688312,3.95474418990074,23.90343364664078,15.167328810901788,531.6121856788518,35.04982270159174,3.1669165161021353,0,-7.92824721429497e-08,10.357951207988663,575270,E1_main
threshold_80,3,550,36,6,40.0,0.2,148559,0.9283853553133772,0.07161464468662282,6.896080826144891,7.1271556100303615,9.820897138110256,35.823376623376625,0.34482466142397006,0.023016680458863303,0.4695816943361268,0.31483916591288347,2.3257450293219213,1.0254545454545454,5.004482401818944,28.429833397991796,15.07726602088358,539.2648239605827,35.766751293878144,3.1929250722815463,0,-8.318420441355556e-08,10.226465625019046,574673,E1_main
threshold_80,4,550,36,6,40.0,0.2,148727,0.9352437687844171,0.06475623121558291,6.816996810247025,6.972602785449514,9.814395734137847,36.12883116883117,0.3484672399384783,0.024291745557172256,0.46360899914047105,0.31411639350968895,2.3024999812461187,1.0301298701298702,6.706541524450196,36.27170589203403,15.151016230877275,551.4592509182112,36.397509085519644,3.119898518800872,0,-8.051028999034315e-08,10.197850625001593,573815,E1_main
threshold_80,5,550,36,6,40.0,0.2,148738,0.9207196546948325,0.07928034530516748,6.890057944967941,7.125191334241633,9.82995709810663,35.57038961038961,0.3424493957735723,0.02306191747482569,0.4742467186576139,0.312895021655792,2.335035147427707,1.0316883116883118,4.946318376601921,29.486052585742186,15.162803044094826,551.8601033716966,36.395652028641194,3.19015045281238,0,-8.290771802421659e-08,10.155777790991124,573350,E1_main
threshold_80,6,550,36,6,40.0,0.2,148974,0.9240471491669687,0.07595285083303127,6.914280518707429,7.186057480592475,9.835798520963243,35.755584415584416,0.34389543989613014,0.023065891524617865,0.4713790902476104,0.3141238546039045,2.407466546211999,1.0288311688311689,4.891175174359557,30.124545866178718,15.132443109816181,534.1970566154356,35.30144159398228,3.0278883533774117,0,-8.078495739027858e-08,10.225544125016313,576144,E1_main
