outcome,rows,share
kept,3081697,0.7761379838022563
outside_service_area,729202,0.18365250381999687
distance_under_0.1mi,57981,0.014602751808123452
duration_under_1min,53461,0.013464371335680446
duplicate_row,46453,0.011699377895220136
duration_over_3h,1066,0.0002684764565540367
speed_under_1kmh,492,0.0001239122107172477
speed_over_100kmh,98,2.468170050872007e-05
distance_over_100km,96,2.417799233507272e-05
outside_month,7,1.7629786077657194e-06
