start_ts,evening charge and go,"evening long park, mostly idle",midday quick top-up,morning charge and go,"morning charge, then linger"
2011,0.2857142857142857,0.10989010989010989,0.14913657770800628,0.28649921507064363,0.16875981161695447
2012,0.2647370813759661,0.08516441885134111,0.12062433702076072,0.2956508561903319,0.23382330656160025
2013,0.27172837061967925,0.07147099584240744,0.13353791328449813,0.31696693724015046,0.2062957830132647
2014,0.25984117496370934,0.06856801297925028,0.13039023140637007,0.3377166766288105,0.20348390402185978
2015,0.27715015365969786,0.08799722979699606,0.13366229494005108,0.304635761589404,0.19655456001385102
2016,0.24707010441082464,0.10509269124227573,0.11743021521414873,0.31095248242062645,0.21945450671212444
2017,0.2622940780206994,0.08075611897033907,0.12033804887010839,0.33194520995366117,0.20466654418519198
2018,0.2577630318465385,0.0375709712843758,0.1261478071917568,0.3742377158344821,0.20428047384284678
2019,0.25336294682143906,0.034781879897749654,0.13326069647571553,0.4057746301806143,0.1728198466244814
2020,0.23213219191718096,0.025433008162452718,0.16394584909416685,0.4126020306589687,0.16588692016723075
