month,n,static_cqr_coverage,rolling_cqr_coverage,median_abs_err_log
2020-01,4454,0.804445442299057,0.8107319263583296,0.28410971604391855
2020-02,4089,0.806065052580093,0.8033749082905356,0.28193856980605464
2020-03,2000,0.795,0.7855,0.29503301038975027
2020-04,487,0.7371663244353183,0.7474332648870636,0.4031165974647988
2020-05,688,0.7281976744186046,0.752906976744186,0.427096655964892
2020-06,1096,0.7454379562043796,0.7846715328467153,0.4168242777476223
2020-07,1166,0.7564322469982847,0.8130360205831904,0.38007677809522555
2020-08,1177,0.7553101104502974,0.8054375531011045,0.36853184034666836
2020-09,1228,0.7646579804560261,0.8061889250814332,0.36499336052784265
2020-10,1495,0.7672240802675585,0.8006688963210702,0.3656984574235197
2020-11,1192,0.7718120805369127,0.8104026845637584,0.3630355916795069
2020-12,1020,0.7617647058823529,0.796078431372549,0.3772219539174326
