segment,sessions,share,typical_arrival_hour,median_connected_h,median_energy_kwh,median_idle_h,charge_fraction,weekend_share,local_driver_share,name
0,91038,0.3510602607558913,10.875340106445485,2.1798611111111112,8.67,0.005,0.9900403697166898,0.22979415189261626,0.23505299393060966,morning charge and go
2,66534,0.25656806376603697,18.10251578166487,1.6519444444444444,6.5370124999999994,0.005277777777777778,0.9649970430129367,0.2513902666305949,0.34132277770851516,evening charge and go
3,51415,0.19826625482506371,10.679842881606016,3.04,7.307337,0.6963888888888888,0.6833506209587912,0.16222892152095691,0.18007248553292884,"morning charge, then linger"
1,33409,0.12883161154236222,14.081001904305671,0.39666666666666667,1.356,0.005,0.8853943075254507,0.3457451584902272,0.3835798725010831,midday quick top-up
4,16927,0.0652738091106458,19.595442603183496,5.226388888888889,11.639285,2.1566666666666667,0.46985569355691503,0.25556802741182727,0.5338271604938272,"evening long park, mostly idle"
